start_time,end_time,usage,source
2022-09-27T08:15:00Z,2022-09-27T08:29:00Z,0.04,real
2022-09-27T08:30:00Z,2022-09-27T08:44:00Z,0.02,real
2022-09-27T08:45:00Z,2022-09-27T08:59:00Z,0.03,real
2022-09-27T09:00:00Z,2022-09-27T09:14:00Z,0.05,real
2022-09-27T09:15:00Z,2022-09-27T09:29:00Z,0.04,real
2022-09-27T09:30:00Z,2022-09-27T09:44:00Z,0.05,real
2022-09-27T09:45:00Z,2022-09-27T09:59:00Z,0.04,real
2022-09-27T10:00:00Z,2022-09-27T10:14:00Z,0.04,real
2022-09-27T10:15:00Z,2022-09-27T10:29:00Z,0.05,real
2022-09-27T10:30:00Z,2022-09-27T10:44:00Z,0.05,real
2022-09-27T10:45:00Z,2022-09-27T10:59:00Z,0.05,real
2022-09-27T11:00:00Z,2022-09-27T11:14:00Z,0.05,real
2022-09-27T11:15:00Z,2022-09-27T11:29:00Z,0.04,real
2022-09-27T11:30:00Z,2022-09-27T11:44:00Z,0.05,real
2022-09-27T11:45:00Z,2022-09-27T11:59:00Z,0.04,real
2022-09-27T12:00:00Z,2022-09-27T12:14:00Z,0.02,real
2022-09-27T12:15:00Z,2022-09-27T12:29:00Z,0.03,real
2022-09-27T12:30:00Z,2022-09-27T12:44:00Z,0.02,real
2022-09-27T12:45:00Z,2022-09-27T12:59:00Z,0.08,real
2022-09-27T13:00:00Z,2022-09-27T13:14:00Z,0.03,real
2022-09-27T13:15:00Z,2022-09-27T13:29:00Z,0.01,real
2022-09-27T13:30:00Z,2022-09-27T13:44:00Z,0.02,real
2022-09-27T13:45:00Z,2022-09-27T13:59:00Z,0.02,real
2022-09-27T14:00:00Z,2022-09-27T14:14:00Z,0.02,real
2022-09-27T14:15:00Z,2022-09-27T14:29:00Z,0.03,real
2022-09-27T14:30:00Z,2022-09-27T14:44:00Z,0.02,real
2022-09-27T14:45:00Z,2022-09-27T14:59:00Z,0.02,real
2022-09-27T15:00:00Z,2022-09-27T15:14:00Z,0.03,real
2022-09-27T15:15:00Z,2022-09-27T15:29:00Z,0.03,real
2022-09-27T15:30:00Z,2022-09-27T15:44:00Z,0.03,real
2022-09-27T15:45:00Z,2022-09-27T15:59:00Z,0.04,real
2022-09-27T16:00:00Z,2022-09-27T16:14:00Z,0.03,real
2022-09-27T16:15:00Z,2022-09-27T16:29:00Z,0.06,real
2022-09-27T16:30:00Z,2022-09-27T16:44:00Z,0.05,real
2022-09-27T16:45:00Z,2022-09-27T16:59:00Z,0.05,real
2022-09-27T17:00:00Z,2022-09-27T17:14:00Z,0.05,real
2022-09-27T17:15:00Z,2022-09-27T17:29:00Z,0.04,real
2022-09-27T17:30:00Z,2022-09-27T17:44:00Z,0.04,real
2022-09-27T17:45:00Z,2022-09-27T17:59:00Z,0.08,real
2022-09-27T18:00:00Z,2022-09-27T18:14:00Z,0.13,real
2022-09-27T18:15:00Z,2022-09-27T18:29:00Z,0.07,real
2022-09-27T18:30:00Z,2022-09-27T18:44:00Z,0.05,real
2022-09-27T18:45:00Z,2022-09-27T18:59:00Z,0.04,real
2022-09-27T19:00:00Z,2022-09-27T19:14:00Z,0.06,real
2022-09-27T19:15:00Z,2022-09-27T19:29:00Z,0.07,real
2022-09-27T19:30:00Z,2022-09-27T19:44:00Z,0.07,real
2022-09-27T19:45:00Z,2022-09-27T19:59:00Z,0.09,real
2022-09-28T00:00:00Z,2022-09-28T00:14:00Z,0.36,real
2022-09-28T00:15:00Z,2022-09-28T00:29:00Z,0.35,real
2022-09-28T00:30:00Z,2022-09-28T00:44:00Z,0.35,real
2022-09-28T00:45:00Z,2022-09-28T00:59:00Z,0.36,real
2022-09-28T01:00:00Z,2022-09-28T01:14:00Z,0.35,real
2022-09-28T01:15:00Z,2022-09-28T01:29:00Z,0.36,real
2022-09-28T01:30:00Z,2022-09-28T01:44:00Z,0.35,real
2022-09-28T01:45:00Z,2022-09-28T01:59:00Z,0.35,real
2022-09-28T02:00:00Z,2022-09-28T02:14:00Z,0.36,real
2022-09-28T02:15:00Z,2022-09-28T02:29:00Z,0.36,real
2022-09-28T02:30:00Z,2022-09-28T02:44:00Z,0.35,real
2022-09-28T02:45:00Z,2022-09-28T02:59:00Z,0.38,real
2022-09-28T03:00:00Z,2022-09-28T03:14:00Z,0.36,real
2022-09-28T03:15:00Z,2022-09-28T03:29:00Z,0.36,real
2022-09-28T03:30:00Z,2022-09-28T03:44:00Z,0.36,real
2022-09-28T03:45:00Z,2022-09-28T03:59:00Z,0.35,real
2022-09-28T04:00:00Z,2022-09-28T04:14:00Z,0.35,real
